Prover,N,Time
Pico,32,32.8s
SP1-AVX2,32,56.1s
SP1-AVX2-Groth16,32,2m14.4s
Risc0,32,44.4s
Pico,64,33.1s
SP1-AVX2,64,54.7s
SP1-AVX2-Groth16,64,2m13.9s
Risc0,64,44.0s
Pico,128,32.9s
SP1-AVX2,128,55.4s
SP1-AVX2-Groth16,128,2m13.3s
Risc0,128,44.0s
Pico,256,33.0s
SP1-AVX2,256,56.0s
SP1-AVX2-Groth16,256,2m14.0s
Risc0,256,44.4s
Pico,512,32.9s
SP1-AVX2,512,54.5s
SP1-AVX2-Groth16,512,2m13.8s
Risc0,512,44.0s
Pico,1024,32.8s
SP1-AVX2,1024,55.2s
SP1-AVX2-Groth16,1024,2m13.2s
Risc0,1024,48.2s
Pico,2048,33.1s
SP1-AVX2,2048,54.7s
SP1-AVX2-Groth16,2048,2m14.1s
Risc0,2048,57.3s
Pico,4096,33.3s
SP1-AVX2,4096,54.7s
SP1-AVX2-Groth16,4096,2m13.6s
Risc0,4096,57.5s
Pico,8192,33.9s
SP1-AVX2,8192,55.1s
SP1-AVX2-Groth16,8192,2m14.3s
Risc0,8192,1m15.1s
Pico,16384,34.8s
SP1-AVX2,16384,55.6s
SP1-AVX2-Groth16,16384,2m15.0s
Risc0,16384,1m59.7s
Pico,32768,37.1s
SP1-AVX2,32768,56.6s
SP1-AVX2-Groth16,32768,2m15.8s
Risc0,32768,3m10.6s
Pico,65536,41.0s
SP1-AVX2,65536,1m0.3s
SP1-AVX2-Groth16,65536,2m20.0s
Risc0,65536,5m22.1s
Pico,131072,49.4s
SP1-AVX2,131072,1m8.0s
SP1-AVX2-Groth16,131072,2m26.2s
Risc0,131072,10m10.8s
Pico,262144,1m3.9s
SP1-AVX2,262144,1m23.6s
SP1-AVX2-Groth16,262144,2m42.0s
Risc0,262144,20m18.6s
Pico,524288,1m41.1s
SP1-AVX2,524288,1m39.5s
SP1-AVX2-Groth16,524288,2m57.5s
Risc0,524288,39m9.9s
Pico,1048576,2m55.6s
SP1-AVX2,1048576,2m50.1s
SP1-AVX2-Groth16,1048576,4m8.8s
Pico,2097152,5m22.0s
SP1-AVX2,2097152,5m5.3s
SP1-AVX2-Groth16,2097152,6m29.4s
Pico,4194304,10m11.2s
SP1-AVX2,4194304,9m51.4s
SP1-AVX2-Groth16,4194304,11m10.9s
Pico,8388608,19m46.1s
SP1-AVX2,8388608,19m50.3s
SP1-AVX2-Groth16,8388608,21m10.8s
