Prover,Megagas,Time
RSP SP1,1,2m30.1s
RSP RISC0,1,7m42.8s
RSP SP1,3,7m28.3s
RSP RISC0,3,21m16.7s
RSP SP1,9,20m42.4s
RSP RISC0,9,52m42.1s
RSP SP1,18,35m8.2s
RSP RISC0,18,90m28.9s
RSP SP1,27,12m54.5s
RSP RISC0,27,42m49.5s
RSP SP1,36,55m8.5s
RSP RISC0,36,1m53.3s
