Prover,N,Time
RSP SP1,1,44.3s
RSP RISC0,1,8m31.8s
RSP SP1,3,1m29.6s
RSP RISC0,3,23m3.6s
RSP SP1,9,3m27.8s
RSP RISC0,9,57m39.1s
RSP SP1,18,5m53.5s
RSP RISC0,18,101m26.8s
RSP SP1,27,2m49.8s
RSP RISC0,27,48m37.8s
RSP SP1,36,11m55.6s
RSP RISC0,36,217m43.8s
