Prover,N,Time
Pico Groth16,10000,27.1s
SP1-AVX2,10000,14.7s
SP1-AVX2-Groth16,10000,1m33.6s
Risc0,10000,13.4s
Pico Groth16,100000,42.8s
SP1-AVX2,100000,35.4s
SP1-AVX2-Groth16,100000,1m53.7s
Risc0,100000,1m6.4s
Pico Groth16,1000000,3m2.9s
SP1-AVX2,1000000,1m58.8s
SP1-AVX2-Groth16,1000000,3m17.7s
Risc0,1000000,10m18.7s
Pico Groth16,4000000,10m57.1s
SP1-AVX2,4000000,6m37.2s
SP1-AVX2-Groth16,4000000,7m53.9s
Risc0,4000000,40m19.4s
