Prover,N,Time
Pico Groth16,32,32.8s
SP1-AVX2,32,55.2s
SP1-AVX2-Groth16,32,2m15.9s
Risc0,32,21.9s
Pico Groth16,64,33.0s
SP1-AVX2,64,54.7s
SP1-AVX2-Groth16,64,2m12.9s
Risc0,64,21.8s
Pico Groth16,128,32.8s
SP1-AVX2,128,54.5s
SP1-AVX2-Groth16,128,2m13.9s
Risc0,128,21.9s
Pico Groth16,256,32.9s
SP1-AVX2,256,54.9s
SP1-AVX2-Groth16,256,2m14.6s
Risc0,256,21.9s
Pico Groth16,512,33.0s
SP1-AVX2,512,56.5s
SP1-AVX2-Groth16,512,2m13.5s
Risc0,512,21.9s
Pico Groth16,1024,33.1s
SP1-AVX2,1024,54.6s
SP1-AVX2-Groth16,1024,2m13.3s
Risc0,1024,26.2s
