Prover,N,Time
Pico-AVX512,100,28.8s
SP1-AVX512,100,53.5s
SP1-AVX512-Groth16,100,1m56.0s
Pico-AVX512,1000,28.8s
SP1-AVX512,1000,53.5s
SP1-AVX512-Groth16,1000,1m56.0s
Pico-AVX512,10000,29.8s
SP1-AVX512,10000,53.3s
SP1-AVX512-Groth16,10000,1m56.0s
Pico-AVX512,100000,39.4s
SP1-AVX512,100000,1m2.8s
SP1-AVX512-Groth16,100000,2m5.9s
Pico-AVX512,1000000,1m46.8s
SP1-AVX512,1000000,2m22.6s
SP1-AVX512-Groth16,1000000,3m25.3s
Pico-AVX512,10000000,12m27.4s
SP1-AVX512,10000000,19m51.6s
SP1-AVX512-Groth16,10000000,21m3.5s
Risc0,100,34.4s
Risc0,1000,37.1s
Risc0,10000,1m8.9s
Risc0,100000,6m19.7s
