Prover,N,Time
Pico-AVX512 Groth16,10000,22.9s
SP1-AVX512,10000,16.0s
SP1-AVX512-Groth16,10000,1m18.5s
Risc0,10000,10.8s
Pico-AVX512 Groth16,100000,35.5s
SP1-AVX512,100000,34.0s
SP1-AVX512-Groth16,100000,1m36.4s
Risc0,100000,50.9s
Pico-AVX512 Groth16,1000000,1m46.0s
SP1-AVX512,1000000,1m42.8s
SP1-AVX512-Groth16,1000000,2m45.8s
Risc0,1000000,7m53.1s
Pico-AVX512 Groth16,4000000,5m18.6s
SP1-AVX512,4000000,5m21.2s
SP1-AVX512-Groth16,4000000,6m29.4s
Risc0,4000000,31m2.0s
