Prover,N,Time
RSP SP1,1,2m31.4s
RSP RISC0,1,8m25.8s
RSP SP1,3,7m33.0s
RSP RISC0,3,22m31.6s
RSP SP1,9,20m46.6s
RSP RISC0,9,57m6.3s
RSP SP1,18,34m51.7s
RSP RISC0,18,102m24.4s
RSP SP1,27,12m49.0s
RSP RISC0,27,48m38.4s
RSP SP1,36,54m39.5s
RSP RISC0,36,215m16.8s
