Prover,N,Time
SP1-AVX2,100,15.3s
SP1-AVX2-Groth16,100,53.9s
SP1-AVX2,1000,15.3s
SP1-AVX2-Groth16,1000,53.6s
SP1-AVX2,10000,15.3s
SP1-AVX2-Groth16,10000,54.3s
SP1-AVX2,100000,15.9s
SP1-AVX2-Groth16,100000,54.0s
SP1-AVX2,1000000,26.3s
SP1-AVX2-Groth16,1000000,1m4.5s
SP1-AVX2,10000000,2m11.5s
SP1-AVX2-Groth16,10000000,2m52.1s
SP1-AVX2,100000000,19m48.4s
SP1-AVX2-Groth16,100000000,20m29.3s
Risc0,100,5.1s
Risc0,1000,5.2s
Risc0,10000,5.7s
Risc0,100000,17.6s
Risc0,1000000,1m58.3s
Risc0,10000000,19m10.1s
