Prover,N,Time
RSP SP1,1,53.5s
RSP RISC0,1,6m6.5s
RSP SP1,3,1m50.7s
RSP RISC0,3,16m5.2s
RSP SP1,9,4m16.2s
RSP RISC0,9,44m28.9s
RSP SP1,18,7m17.8s
RSP RISC0,18,77m48.4s
RSP SP1,27,3m32.3s
RSP RISC0,27,37m9.0s
RSP SP1,36,14m30.1s
RSP RISC0,36,176m32.8s
