Prover,N,Time
SP1-AVX2,10000,13.9s
SP1-AVX2-Groth16,10000,53.1s
Risc0,10000,1.7s
SP1-AVX2,100000,13.3s
SP1-AVX2-Groth16,100000,53.7s
Risc0,100000,5.6s
SP1-AVX2,1000000,22.8s
SP1-AVX2-Groth16,1000000,1m9.2s
Risc0,1000000,48.9s
SP1-AVX2,4000000,57.0s
SP1-AVX2-Groth16,4000000,1m36.1s
Risc0,4000000,3m9.8s
