Prover,N,Time
Pico,10000,23.1s
SP1-AVX512,10000,16.9s
SP1-AVX512-Groth16,10000,1m19.5s
Risc0,10000,7.1s
Pico,100000,35.9s
SP1-AVX512,100000,35.0s
SP1-AVX512-Groth16,100000,1m38.1s
Risc0,100000,40.1s
Pico,1000000,1m43.7s
SP1-AVX512,1000000,1m44.4s
SP1-AVX512-Groth16,1000000,2m46.0s
Risc0,1000000,6m11.8s
Pico,4000000,5m19.1s
SP1-AVX512,4000000,5m25.0s
SP1-AVX512-Groth16,4000000,6m31.1s
Risc0,4000000,24m6.7s
